name,country,code
Utirik Airport,MH,UTK
Ocean Reef Club Airport,US,OCA
Pilot Station Airport,US,PQS
Crested Butte Airpark,US,CSE
LBJ Ranch Airport,US,JCY
Metropolitan Airport,US,PMX
Loring Seaplane Base,US,WLR
Nunapitchuk Airport,US,NUP
Port Alice Seaplane Base,US,PTC
Icy Bay Airport,US,ICY
Port Protection Seaplane Base,US,PPV
Kalakaket Creek AS Airport,US,KKK
Dunsmuir Muni-Mott Airport,US,MHS
Chase Field Industrial Airport,US,NIR
Grand Canyon Bar Ten Airstrip,US,GCT
Ellamar Seaplane Base,US,ELW
Lime Village Airport,US,LVD
Hog River Airport,US,HGZ
Ed-Air Airport,US,OTN
Telida Airport,US,TLF
Eagle Air Park,US,BZT
Entrance Island Seaplane Base,US,HBH
False Island Seaplane Base,US,FAK
Blakely Island Airport,US,BYW
Drift River Airport,US,DRF
Rinkenberger Restricted Landing Area,US,BDF
Roy Otten Memorial Airfield,US,VRS
Golden Horn Lodge Seaplane Base,US,GDH
Atmautluak Airport,US,ATT
Livengood Camp Airport,US,LIV
Pedro Bay Airport,US,PDB
Ouzinkie Airport,US,KOZ
Tununak Airport,US,TNK
Ben Bruce Memorial Airpark,US,EVA
Hyder Seaplane Base,US,WHD
Minto Al Wright Airport,US,MNT
Tokeen Seaplane Base,US,TKI
Aleknagik / New Airport,US,WKK
Ketchikan Harbor Seaplane Base,US,WFB
Naknek Airport,US,NNK
Lake Brooks Seaplane Base,US,BKF
Southern Seaplane Airport,US,BCS
Catalina Air-Sea Terminal Heliport,US,SPQ
East 34th Street Heliport,US,TSS
New York Skyports Inc Seaplane Base,US,QNY
Earl Henry Airport,US,BWL
Yes Bay Lodge Seaplane Base,US,WYB
Center Island Airport,US,CWS
Tatitlek Airport,US,TEK
Pine Island Airport,US,DUF
Stuart Island Airpark,US,SSW
Fort Bragg Airport,US,FOB
Port of Poulsbo Marina Moorage Seaplane Base,US,PUL
Century City Heliport,US,CCD
Meyers Chuck Seaplane Base,US,WMK
Maxson Airfield,US,AXB
Reese Airpark,US,REE
Waldron Airstrip,US,WDN
Whale Pass Seaplane Float Harbor Facility,US,WWP
Chuathbaluk Airport,US,CHU
Ugashik Airport,US,UGS
Marlboro Airport,US,MXG
Philadelphia Seaplane Base,US,PSQ
Levelock Airport,US,KLL
Saginaw Seaplane Base,US,SGW
Tuntutuliak Airport,US,WTL
Twin Hills Airport,US,TWA
Chignik Lake Airport,US,KCQ
Adado Airport,SO,AAD
Atkamba Airport,PG,ABP
Abau Airport,PG,ABW
Andorra la Vella Heliport,AD,ALV
Andakombe Airport,PG,ADC
El Daein Airport,SD,ADV
Jebel Ali Seaplane Base,AE,DJH
Adareil Airport,SS,AEE
Algeciras Heliport,ES,AEI
Aseki Airport,PG,AEK
Ar Horqin Airport,CN,AEQ
OrÅ«zgÄn Airport,AF,URZ
Salerno Airport,AF,OLR
Kondavattavana Tank Seaplane Base,LK,AFK
Afore Airstrip,PG,AFR
Afutara Aerodrome,SB,AFT
Ulawa Airport,SB,RNA
Uru Harbour Airport,SB,ATD
Barakoma Airport,SB,VEV
Geva Airport,SB,GEF
Angoram Airport,PG,AGG
Gwaunaru'u Airport,SB,AKS
Bellona/Anua Airport,SB,BNY
Choiseul Bay Airport,SB,CHY
Ballalae Airport,SB,BAS
Fera/Maringe Airport,SB,FRE
Honiara International Airport,SB,HIR
Babanakira Airport,SB,MBU
Avu Avu Airport,SB,AVU
Ngorangora Airport,SB,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SB,SCZ
Munda Airport,SB,MUA
Nusatupe Airport,SB,GZO
Mono Airport,SB,MNY
Parasi Airport,SB,PRS
Ontong Java Atoll Airstrip,SB,OTV
Rennell/Tingoa Airport,SB,RNL
Sege Airport,SB,EGM
Santa Ana Airport,SB,NNB
Marau Airport,SB,RUS
Suavanao Airport,SB,VAO
Yandina Airport,SB,XYA
Kagua Airport,PG,AGK
Kaghau Airport,SB,KGE
Kukudu Airport,SB,KUE
Kwailabesi Airport,SB,KWS
Wanigela Airport,PG,AGL
Nana Airport,SB,NAZ
Ringi Cove Airport,SB,RIN
Ramata Airport,SB,RBV
Tulaghi Heliport,SB,TLG
Argyle Downs Airport,AU,AGY
Hongyuan Airport,CN,AHJ
Amchitka Army Airfield,US,AHT
Ambatolhy Airport,MG,AHY
Aiome Airport,PG,AIE
Aiambak Airport,PG,AIH
Ailinglaplap Airok Airport,MH,AIC
Chena Hot Springs Airport,US,CEX
Solomon State Field,US,SOL
Herendeen Bay Airport,US,HED
Taylor Airport,US,TWE
Tikchik Lodge Seaplane Base,US,KTH
Naukati Bay Seaplane Base,US,NKI
Lonely Air Station,US,LNI
Candle 2 Airport,US,CDL
Amook Bay Seaplane Base,US,AOS
Bartletts Airport,US,BSZ
Boswell Bay Airport,US,BSW
Zakuoma Airport,TD,AKM
Sharpe Field,US,TGE
Alitak Seaplane Base,US,ALZ
Mar de CortÃ©s International Airport,MX,PPE
Alto Molocue Airport,MZ,AME
Ama Airport,PG,AMF
Amanab Airport,PG,AMU
Ambatomainty Airport,MG,AMY
Anuha Island Resort Airport,SB,ANH
Nauru International Airport,NR,INU
Angus Downs Airport,AU,ANZ
Andulo Airport,AO,ANL
Cangamba Airport,AO,CNZ
Dirico Airport,AO,DRC
Lumbala Airport,AO,GGC
Jamba Airport,AO,JMB
Capanda Airport,AO,KNP
Ndalatandos Airport,AO,NDF
Aroa Airport,PG,AOA
Annanberg Airport,PG,AOB
Abou-DeÃ¯a Airport,TD,AOD
Asapa Airport,PG,APP
April River Airport,PG,APR
Troll Airfield,AQ,QET
Girdwood Airport,US,AQY
Bragado Airport,AR,QRF
Caleta Olivia Airport,AR,CVI
Charata Airport,AR,CNT
General Villegas Airport,AR,VGS
Los Menucos Airport,AR,LMD
Saenz PeÃ±a Airport,AR,SZQ
Valcheta Airport,AR,VCF
Sunchales Aeroclub Airport,AR,NCJ
Carmen De Patagones Airport,AR,CPG
Termal Airport,AR,PRQ
Colonia Sarmiento Airport,AR,OLN
Aragip Airport,PG,ARP
Asbury Park Neptune Air Terminal,US,ARX
Tau Airport,AS,TAV
Asirim Airport,PG,ASZ
Namatanai Airport,PG,ATN
Aitape Airport,PG,ATP
Lady Elliot Island Airstrip,AU,LYT
Agnew Airport,AU,AGW
Alroy Downs Airport,AU,AYD
Baniyala Airport,AU,BYX
Coolibah Airport,AU,COB
Coorabie Airport,AU,CRJ
Carlton Hill Airport,AU,CRY
Cresswell Downs Airport,AU,CSD
Diamantina Lakes Airport,AU,DYM
Hayman Island Resort Seaplane Base,AU,HIS
Helenvale Airport,AU,HLV
Kimberley Downs Airport,AU,KBD
Kulgera Airport,AU,KGR
Miranda Downs Airport,AU,MWY
Camballin Airport,AU,MYO
Orchid Beach Airport,AU,OKB
Peppimenarti Airport,AU,PEP
Rockhampton Downs Airport,AU,RDA
Sturt Creek Airport,AU,SSK
Shaw River Airport,AU,SWB
Tom Price Airport,AU,TPR
Torwood Airport,AU,TWP
Springvale Airport,AU,ZVG
Aua Island Airport,PG,AUI
Ambunti Airport,PG,AUJ
Agaun Airport,PG,AUP
Aumo Airport,PG,AUV
Alowe Airport,GA,AWE
Awar Airport,PG,AWR
Alxa Left Banner Bayanhot Airport,CN,AXF
Kompiam Airport,PG,KPM
Buka Airport,PG,BUA
Biaru Airport,PG,BRP
Chimbu Airport,PG,CMU
Munduku Airport,PG,MDM
Kondobol Airport,PG,KPF
Dinangat Airport,PG,DNU
Doini Airport,PG,DOI
Daru Airport,PG,DAU
Embessa Airport,PG,EMS
Edwaki Airport,PG,XYR
Eliptamin Airport,PG,EPT
Engati Airstrip,PG,EGA
Emo River Airstrip,PG,EMO
Erume Airport,PG,ERU
Meselia Airport,PG,MFZ
Feramin Airport,PG,FRQ
Frieda River Airport,PG,FAQ
Fuma Airport,PG,FUM
Goroka Airport,PG,GKA
Guari Airport,PG,GUG
Garasa Airport,PG,GRL
Gurney Airport,PG,GUR
Gusap Airport,PG,GAP
Girua Airport,PG,PNP
Gasuke Airport,PG,GBC
Habi Airport,PG,HBD
Heiweni Airport,PG,HNI
Honinabi Airport,PG,HNN
Kimbe Airport,PG,HKN
Haivaro Airport,PG,HIT
Imane Airport,PG,IMN
Kungim Airport,PG,KGM
Imonda Airport,PG,IMD
Ialibu Airport,PG,IAL
Witu Airport,PG,WIU
Yongai Airport,PG,KGH
Losuia Airport,PG,LSA
Kopiago Airport,PG,KPA
Kiunga Airport,PG,UNG
Kanainj Airport,PG,KNE
Kikori Airport,PG,KRI
Kerema Airport,PG,KMA
Kar Kar Airport,PG,KRX
Aropa Airport,PG,KIE
Kuri Airport,PG,KUQ
Kavieng Airport,PG,KVG
Londolovit Airport,PG,LNV
Lab Lab Airport,PG,LAB
Lowai Airport,PG,LWI
Leron Plains Airport,PG,LPN
Lese Airport,PG,LNG
Long Island Airport,PG,LSJ
Yas Island Seaplane Base,AE,AYM
Manari Airport,PG,MRM
Morobe Airport,PG,OBM
Madang Airport,PG,MAG
Mount Hagen Kagamuga Airport,PG,HGU
Mougulu Airport,PG,GUV
Mendi Airport,PG,MDU
Momote Airport,PG,MAS
Moro Airport,PG,MXH
Misima Island Airport,PG,MIS
Marawaka Airport,PG,MWG
Nankina Airport,PG,NKN
Negarbo(Negabo) Airport,PG,GBF
Manguna Airport,PG,MFO
Kasonombe Airport,PG,KSB
Nomane Airport,PG,NMN
Nambaiyufa Airport,PG,NBA
Nadzab Airport,PG,LAE
Konge Airport,PG,KGB
Oksapmin Airport,PG,OKP
Komako Airport,PG,HOC
Komaio Airport,PG,KCJ
Koroba Airport,PG,KDE
Open Bay Airport,PG,OPB
Pangoa Airport,PG,PGB
Pangia Airport,PG,PGN
Mapoda Airport,PG,MPF
Pumani Airport,PG,PMN
Port Moresby Jacksons International Airport,PG,POM
Sopu Airport,PG,SPH
Sialum Airport,PG,SXA
Rumginae Airport,PG,RMN
Karimui Airport,PG,KMR
Maramuni Airport,PG,MWI
May River Airstrip,PG,MRH
Suabi Airport,PG,SBE
Simberi Airport,PG,NIS
Sila Airport,PG,SIL
Sabah Airport,PG,SBV
Simbai Airport,PG,SIM
Selbang Airport,PG,SBC
Sepik Plains Airport,PG,SPV
Sauren Airport,PG,SXW
Masa Airport,PG,MBV
Tari Airport,PG,TIZ
Tabubil Airport,PG,TBG
Tapini Airport,PG,TPI
Tokua Airport,PG,RAB
Tekin Airport,PG,TKW
Tep Tep Airport,PG,TEP
Tsewi Airport,PG,TSW
Tarakbits Airport,PG,TRJ
Tawa Airport,PG,TWY
Tekadu Airport,PG,TKB
Aiyura Airport,PG,AYU
Umba Airport,PG,UMC
Uroubi Airport,PG,URU
Upiara Airport,PG,UPR
Uvol Airport,PG,UVO
Talasea Airport,PG,TLW
Torembi Airport,PG,TCJ
Vanimo Airport,PG,VAI
Tonu Airport,PG,TON
Wabo Airport,PG,WAO
Wapenamanda Airport,PG,WBM
Wawoi Falls Airport,PG,WAJ
Wewak International Airport,PG,WWK
Wonenara Airport,PG,WOA
Wakunai Airport,PG,WKN
Wasu Airport,PG,WSU
Woitape Airport,PG,WTP
Wau Airport,PG,WUG
Yeva Airport,PG,YVD
Sim Airport,PG,SMJ
Weam Airport,PG,WEP
Arugam Bay SPB,LK,AYY
Yalumet Airport,PG,KYX
Yasuru Airport,PG,KSX
Zahn's Airport,US,AYZ
Wasum Airport,PG,WUM
Zabrat Airport,AZ,ZXT
Lava Falls Heliport,US,HAE
Amazon Bay Airport,PG,AZB
Bali Airport,PG,BAJ
Baibara Airport,PG,BAP
Branson Airport,US,BKG
Baca Grande Airfield,US,BCJ
Bambu Airport,PG,BCP
Benguera Island Airport,MZ,BCW
Milyakburra Airport,AU,BCZ
Willmar Municipal -John L Rice Field,US,ILL
Baindoung Airport,PG,BDZ
Bereina Airport,PG,BEA
Berlin Brandenburg Airport (U.C.),DE,BER
Malevo Airport,BG,HKV
Bezmer Air Base,BG,JAM
Aasiaat Airport,GL,JEG
Aappilattoq (Qaasuitsup) Heliport,GL,AOQ
Tasiilaq Heliport,GL,AGM
Alluitsup Paa Heliport,GL,LLU
Attu Heliport,GL,QGQ
Narsarsuaq Airport,GL,UAK
Qasigiannguit Heliport,GL,JCH
Neerlerit Inaat Airport,GL,CNP
Dundas Airport,GL,DUN
Eqalugaarsuit Heliport,GL,QFG
Godthaab / Nuuk Airport,GL,GOH
Qeqertarsuaq Heliport,GL,JGO
Iginniarfik,GL,QFI
Ikerassaarsuk Heliport,GL,QRY
Ilimanaq Heliport,GL,XIQ
Innarsuit Heliport,GL,IUI
Isortoq Heliport,GL,IOQ
Ikamiut Heliport,GL,QJI
Qaqortoq Heliport,GL,JJU
Ilulissat Airport,GL,JAV
Kangaatsiaq Heliport,GL,QPW
Kulusuk Airport,GL,KUS
Kuummiut Heliport,GL,KUZ
Kullorsuaq Heliport,GL,KHQ
Kangersuatsiaq Heliport,GL,KGQ
Kitsissuarsuit Heliport,GL,QJE
Maniitsoq Airport,GL,JSU
Nanortalik Heliport,GL,JNN
Narsaq Heliport,GL,JNS
Niaqornat Heliport,GL,NIQ
Nuussuaq Heliport,GL,NSQ
Bongo Airport,GA,BGP
Paamiut Airport,GL,JFR
Qeqertaq Heliport,GL,QQT
Qaanaaq Airport,GL,NAQ
Ittoqqortoormiit Heliport,GL,OBY
Kangerlussuaq Airport,GL,SFJ
Siorapaluk Heliport,GL,SRK
Saarloq Heliport,GL,QOQ
Sisimiut Airport,GL,JHS
Savissivik Heliport,GL,SVR
Tasiusaq (Qaasuitsup) Heliport,GL,TQA
Thule Air Base,GL,THU
Tiniteqilaaq Heliport,GL,TQI
Upernavik Airport,GL,JUV
Uummannaq Heliport,GL,UMD
Qaarsut Airport,GL,JQA
Ukkusissat Heliport,GL,JUK
BahÃ­a de los Ãngeles Airport,MX,BHL
Brighton Downs Airport,AU,BHT
Akureyri Airport,IS,AEY
Bildudalur Airport,IS,BIU
BorgarfjÃ¶rÃ°ur eystri Airport,IS,BGJ
BakkafjÃ¶rÃ°ur Airport,IS,BJD
Hjaltabakki Airport,IS,BLO
BÃºÃ°ardalur Airport,IS,BQD
BreiÃ°dalsvÃ­k Airport,IS,BXV
DjÃºpivogur Airport,IS,DJU
EgilsstaÃ°ir Airport,IS,EGS
FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,IS,FAS
FagurhÃ³lsmÃ½ri Airport,IS,FAG
GrundarfjÃ¶rÃ°ur Airport,IS,GUU
GjÃ¶gur Airport,IS,GJR
GrÃ­msey Airport,IS,GRY
HÃ³lmavÃ­k Airport,IS,HVK
HornafjÃ¶rÃ°ur Airport,IS,HFN
Holt Airport,IS,FLI
HÃºsavÃ­k Airport,IS,HZK
KrÃ³kstaÃ°armelar Airport,IS,HVM
IngjaldssanÃ°ur Airport,IS,HLO
ÃsafjÃ¶rÃ°ur Airport,IS,IFJ
Biliau Airport,PG,BIJ
Keflavik International Airport,IS,KEF
KÃ³pasker Airport,IS,OPA
SauÃ°Ã¡rkrÃ³kur Airport,IS,SAK
NorÃ°fjÃ¶rÃ°ur Airport,IS,NOR
ÃlafsfjÃ¶rÃ°ur Airport,IS,OFJ
PatreksfjÃ¶rÃ°ur Airport,IS,PFJ
ReykhÃ³lar Airport,IS,RHA
Rif Airport,IS,OLI
RaufarhÃ¶fn Airport,IS,RFN
Reykjavik Airport,IS,RKV
ReykjahlÃ­Ã° Airport,IS,MVA
SiglufjÃ¶rÃ°ur Airport,IS,SIJ
StykkishÃ³lmur Airport,IS,SYK
Ãingeyri Airport,IS,TEY
Thorshofn Airport,IS,THO
Vestmannaeyjar Airport,IS,VEY
VopnafjÃ¶rÃ°ur Airport,IS,VPN
Bimin Airport,PG,BIZ
Baleela Airport,SD,BJE
Bahja Airport,OM,BJQ
Bentota River Waterdrome,LK,BJT
PriÅ¡tina International Airport,XK,PRN
Bomai Airport,PG,BMH
Bamburi Airport,KE,BMQ
Bamu Airport,PG,BMZ
Baranof Warm Springs Float and Seaplane Base,US,BNF
Bodinumu Airport,PG,BNM
Baganga airport,PH,BNQ
Bundi Airport,PG,BNT
Boana Airport,PG,BNV
Banz Airport,PG,BNZ
Rurenabaque Airport,BO,RBQ
Baures Airport,BO,BVL
Bolling Air Force Base,US,BOF
Brookings Airport,US,BOK
Boku Airport,PG,BOQ
Bosset Airport,PG,BOT
Boang Airport,PG,BOV
Batuna Aerodrome,SB,BPF
Bartlett Cove Seaplane Base,US,BQV
TucumÃ£ Airport,BR,TUZ
Alenquer Airport,BR,ALT
Suia-Missu Airport,BR,SWM
Whitesburg Municipal Airport,US,BRG
Bimini North Seaplane Base,BS,NSB
Bensbach Airport,PG,BSP
Besakoa Airport,MG,BSV
Bulolo Airport,PG,BUL
Bolovip Airstrip,PG,BVP
Esperadinha Airport,CV,BVR
Hukuntsi Airport,BW,HUK
Bawan Airport,PG,BWJ
Bewani Airport,PG,BWP
Blue Lagoon Seaplane Base,FJ,BXL
Bunsil Airport,PG,BXZ
Boundary Airport,US,BYA
Bella Yella Airport,LR,BYL
Beira Lake Seaplane Base,LK,BYV
Hector Silva Airstrip,BZ,BCV
Big Creek Airport,BZ,BGK
Caye Caulker Airport,BZ,CUK
Caye Chapel Airport,BZ,CYC
Corozal Municipal Airport,BZ,CZH
Dangriga Airport,BZ,DGA
Independence Airport,BZ,INB
Melinda Airport,BZ,MDB
Orange Walk Airport,BZ,ORZ
Placencia Airport,BZ,PLJ
Punta Gorda Airport,BZ,PND
Sartaneja Airport,BZ,SJX
San Pedro Airport,BZ,SPR
Matthew Spain Airport,BZ,SQS
Santa Cruz Airport,BZ,STU
Silver Creek Airport,BZ,SVK
Belize City Municipal Airport,BZ,TZA
Bazaruto Island Airport,MZ,BZB
Bemolanga Airport,MG,BZM
Buzzards Point Seaplane Base,US,BZS
Blissville Airport,CA,YYS
Clinton Creek Airport,CA,YLM
Deception Airport,CA,YGY
Lady Franklin Point Airport,CA,YUJ
Lupin Airport,CA,YWO
Moose Lake Airport,CA,YAD
Mould Bay Airport,CA,YMD
Paradise River Airport,CA,YDE
Rivers Airport,CA,YYI
Saglek Airport,CA,YSV
Terrace Bay Airport,CA,YTJ
Winisk Airport,CA,YWN
Stuart Island Airstrip,CA,YRR
Mary River Aerodrome,CA,YMV
Bedwell Harbour Seaplane Base,CA,YBW
Tofino Harbour Seaplane Base,CA,YTP
Bronson Creek Airport,CA,YBM
Alice Arm/Silver City Seaplane Base,CA,ZAA
Nanaimo Harbour Water Airport,CA,ZNA
Trail Airport,CA,YZZ
Merritt Airport,CA,YMB
Campbell River Seaplane Base,CA,YHH
Whistler/Green Lake Water Aerodrome,CA,YWS
Bamfield Seaplane Base,CA,YBF
Big Bay Seaplane Base,CA,YIG
Chilko Lake (Tsylos Park Lodge) Airport,CA,CJH
Pender Harbour Seaplane Base,CA,YPT
Ocean Falls Seaplane Base,CA,ZOF
Courtenay Airpark,CA,YCA
